date,n_pos,R_t
2022-06-13,249.59447004608293,1.064562413986741
2022-06-14,252.85253456221196,1.0713909813911615
2022-06-15,256.63133640552996,1.0771900106970593
2022-06-16,261.4700460829493,1.0840707961547498
2022-06-17,268.4285714285714,1.096317359199996
2022-06-18,275.3087557603686,1.1047528142946386
2022-06-19,282.3594470046083,1.110286231478596
2022-06-20,291.04608294930875,1.117310808402564
2022-06-21,301.10138248847926,1.1252530888040866
2022-06-22,312.778801843318,1.133952405681711
2022-06-23,325.28110599078343,1.1409215364634324
2022-06-24,337.50691244239636,1.1415248945480123
2022-06-25,350.40552995391704,1.14279520106584
2022-06-26,364.48387096774195,1.1479958879468655
2022-06-27,378.6175115207373,1.1517698614300564
2022-06-28,392.83870967741933,1.154473909733215
2022-06-29,406.1428571428571,1.1544894732205002
2022-06-30,418.46082949308754,1.1517973959853194
2022-07-01,429.036866359447,1.1462878789750377
2022-07-02,439.36405529953913,1.1413027497571977
2022-07-03,448.3456221198157,1.1327709446965972
2022-07-04,455.16129032258067,1.123070278433354
2022-07-05,460.41935483870975,1.1130328813459531
2022-07-06,464.4700460829493,1.10363163025859
2022-07-07,469.1520737327189,1.1013496099823439
2022-07-08,472.44700460829495,1.0959397560709192
2022-07-09,474.9308755760369,1.0891017171681927
2022-07-10,476.92165898617515,1.082062984044962
2022-07-11,478.0276497695852,1.0742168256925642
2022-07-12,478.6313364055299,1.0672106332070521
2022-07-13,478.58986175115206,1.0604737836001106
2022-07-14,476.04147465437785,1.0471342975154854
2022-07-15,473.63133640552996,1.0379329958601364
2022-07-16,470.8341013824885,1.0310862052194887
2022-07-17,467.2534562211981,1.0248857520546037
2022-07-18,462.40092165898614,1.0170923523897408
2022-07-19,457.0967741935484,1.010422217352167
2022-07-20,451.2857142857143,1.0045265498583635
2022-07-21,443.60829493087556,0.9957686002225634
2022-07-22,434.1428571428571,0.9846622072018727
2022-07-23,422.8709677419355,0.9726374623620163
2022-07-24,410.45161290322585,0.9619026620436455
2022-07-25,396.82488479262673,0.9519172128679508
2022-07-26,382.58986175115206,0.9437971446243986
2022-07-27,367.86175115207374,0.9371579608761661
2022-07-28,352.70046082949307,0.9317185546566945
2022-07-29,337.2857142857143,0.9271645304930952
2022-07-30,322.7695852534562,0.9257779636262841
2022-07-31,309.0783410138249,0.9270193066567557
2022-08-01,296.9078341013825,0.9303510368918191
2022-08-02,284.7373271889401,0.9324131885636578
2022-08-03,272.87557603686633,0.9342141846189255
2022-08-04,263.0921658986175,0.9381913780032202
2022-08-05,254.72811059907835,0.9437534572689968
2022-08-06,247.35944700460828,0.9491946380039319
2022-08-07,240.94930875576037,0.9551626245812918
2022-08-08,234.83870967741933,0.959890871008872
2022-08-09,229.04147465437788,0.9637987674855207
2022-08-10,223.31797235023043,0.966259841713819
2022-08-11,217.99078341013825,0.9689243919400125
2022-08-12,212.9953917050691,0.9715228643840632
2022-08-13,208.46543778801845,0.974986736835193
2022-08-14,204.25806451612902,0.9783300893678634
2022-08-15,200.08294930875576,0.9803214186570783
2022-08-16,195.58986175115206,0.9794053075887335
2022-08-17,190.8617511520737,0.9765534576540608
2022-08-18,186.27649769585253,0.9741240440270039
2022-08-19,181.7557603686636,0.9720619140579847
2022-08-20,177.41474654377882,0.9709475607135974
2022-08-21,173.2258064516129,0.9707066804105348
2022-08-22,169.23963133640552,0.9707521968614766
2022-08-23,165.35944700460828,0.9711780372781118
2022-08-24,161.6082949308756,0.9717461255693455
2022-08-25,158.10138248847926,0.972640282470384
2022-08-26,154.7511520737327,0.9735839199354993
2022-08-27,151.68202764976957,0.9756707683565619
2022-08-28,148.80184331797236,0.9782076455810919
2022-08-29,146.1152073732719,0.9809425504251144
2022-08-30,143.23502304147468,0.9810493372733764
2022-08-31,140.27188940092165,0.9801706799136739
2022-09-01,137.46082949308757,0.9800633970913878
2022-09-02,134.79723502304148,0.9807065058642699
2022-09-03,132.06912442396313,0.9805912067339085
2022-09-04,129.44239631336407,0.980430524273211
2022-09-05,126.79723502304148,0.9797358300409762
2022-09-06,124.40092165898618,0.9806567352890734
2022-09-07,121.82949308755761,0.9793962067837947
2022-09-08,119.25806451612904,0.9776490568312359
2022-09-09,116.59907834101382,0.9751488611360745
2022-09-10,114.00460829493086,0.9738491681512317
2022-09-11,111.36405529953919,0.9727954377307034
2022-09-12,108.73732718894009,0.9720600390022499
2022-09-13,106.05990783410138,0.9714098064859938
2022-09-14,103.47004608294931,0.971752580839918
2022-09-15,100.97235023041473,0.9724331499185418
2022-09-16,98.68663594470047,0.9738109316872421
2022-09-17,96.61751152073734,0.9761206413313214
2022-09-18,94.74193548387096,0.9796246420613791
2022-09-19,92.82027649769586,0.9804992589392039
2022-09-20,90.95852534562212,0.9807394352565607
2022-09-21,89.09216589861752,0.9801321489988303
2022-09-22,87.3963133640553,0.9807244851827513
2022-09-23,85.74193548387096,0.9817278709610695
2022-09-24,84.2073732718894,0.9839641090601254
2022-09-25,82.76036866359446,0.9862102425934577
2022-09-26,81.54377880184333,0.9909016163903934
2022-09-27,80.27188940092167,0.993716308025158
2022-09-28,79.04147465437788,0.9960004020094376
2022-09-29,77.90322580645162,0.9985976317071599
2022-09-30,77.07373271889401,1.0041628780523493
2022-10-01,76.16589861751152,1.0071133016052243
2022-10-02,75.22119815668204,1.0082282526350825
2022-10-03,74.2995391705069,1.0086836895721911
2022-10-04,73.51612903225806,1.010545025343793
2022-10-05,72.82027649769586,1.012778107817645
2022-10-06,72.22119815668204,1.0154761603635476
2022-10-07,71.58986175115207,1.0169976413857151
